LAPORAN KAS BCA DISMA BULAN JANUARI 2026;;;;;;
;;;;;;
TGL;KETERANGAN;SALDO AWAL;KAS MASUK;KAS KELUAR;SALDO AKHIR;
;;;;;;
;; Rp	10.859.879,30 ;;; Rp	10.859.879,30 ;
;Pembelian Delta Adib 13Januari'26;;; Rp	315.000,00 ; Rp	31.337.897,30 ;
;Pembelian Safira 13Januari'26;;; Rp	1.245.000,00 ; Rp	30.092.897,30 ;
;Listrik Kantor;;; Rp	2.380.275,00 ; Rp	27.712.622,30 ;
;Pembelian Bertoli White Vinegar@500Ml 1Btl Shopee 13Januari'26;;; Rp	61.000,00 ; Rp	27.651.622,30 ;
;Pembelian Agro Boga 13Januari'26;;; Rp	1.540.000,00 ; Rp	26.111.622,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	26.109.122,30 ;
;Pembelian Beras Thai Farm Hom Mali@5Kg 2Krg Shopee 13Januari'26;;; Rp	496.000,00 ; Rp	25.613.122,30 ;
;Uang Belanja Hilman 14Januari'26;;; Rp	9.500.000,00 ; Rp	16.113.122,30 ;
14-Jan;Pembelian Hijrah Food 14Januari'26;;; Rp	1.425.000,00 ; Rp	14.688.122,30 ;
;Uang Belanja Hilman 14Januari'26;;; Rp	764.000,00 ; Rp	13.924.122,30 ;
;Pembelian Pak Yana 14Januari'26;;; Rp	1.050.000,00 ; Rp	12.874.122,30 ;
;Pembelian Delta Adib 14Januari'26;;; Rp	175.000,00 ; Rp	12.699.122,30 ;
;Pembelian Safira 14Januari'25;;; Rp	405.000,00 ; Rp	12.294.122,30 ;
;Marketing;;; Rp	50.000,00 ; Rp	12.244.122,30 ;
;Pembelian Milac Gold Cooking Cream@1Ltr 12Pack Shopee 14Januari'26;;; Rp	821.275,00 ; Rp	11.422.847,30 ;
;Pembelian Lady Finger Vicenzova@200Gr 5pack Shopee 14Januari'26;;; Rp	247.442,00 ; Rp	11.175.405,30 ;
;Marketing;;; Rp	50.000,00 ; Rp	11.125.405,30 ;
;Uang Belanja Hilman 15Januari'26;;; Rp	4.500.000,00 ; Rp	6.625.405,30 ;
;Pembelian Salted Egg Yolk Golden Isi 20Pcs 20Pack Shopee 14Januari'26;;; Rp	2.101.600,00 ; Rp	4.523.805,30 ;
15-Jan;Pembelian Toko Rafflesia 15Januari'26;;; Rp	1.260.000,00 ; Rp	3.263.805,30 ;
;Uang Lembur Rifai 13 & 14 Januari'26;;; Rp	100.000,00 ; Rp	3.163.805,30 ;
;Pembelian Safira 15Januari'26;;; Rp	832.500,00 ; Rp	2.331.305,30 ;
;Pembelian Pak Yana 15Januari'26;;; Rp	1.050.000,00 ; Rp	1.281.305,30 ;
;Pembelian Delta Adib 15Januari'26;;; Rp	70.000,00 ; Rp	1.211.305,30 ;
;Uang Operasional Pak Ifan 15Januari'26;;; Rp	152.000,00 ; Rp	1.059.305,30 ;
;Disma Operasional Cost Dari Bank Bri;; Rp	50.000.000,00 ;; Rp	51.059.305,30 ;
;Pembelian Syrup Monin Leci@700Ml 3Btl Tokopedia 15Januari'26;;; Rp	399.900,00 ; Rp	50.659.405,30 ;
;Pembelian BakingLand 15Januari'26;;; Rp	382.000,00 ; Rp	50.277.405,30 ;
;Pembelian Toko Rafflesia 15Januari'26;;; Rp	140.000,00 ; Rp	50.137.405,30 ;
;Uang Belanja Hilman 15Januari'26;;; Rp	753.000,00 ; Rp	49.384.405,30 ;
;Pembelian Bertoli White Vinegar@500Ml 1Btl Shopee 15Januari'26;;; Rp	61.000,00 ; Rp	49.323.405,30 ;
;Pembelian Plastik Wrapping 35x500m 1Roll Shopee 15Januari'26;;; Rp	123.801,00 ; Rp	49.199.604,30 ;
;Uang Belanja Hilman 16Januari'26;;; Rp	5.500.000,00 ; Rp	43.699.604,30 ;
16-Jan;Uang Harian Pak Ifan 15Januari'26;;; Rp	150.000,00 ; Rp	43.549.604,30 ;
;Pengembalian Dana Refund Syrup Monin Leci@700Ml 1Btl Tokopedia 15Januari'26;; Rp	132.000,00 ;; Rp	43.681.604,30 ;
;Pembelian Syrup Monin Leci@700Ml 1Btl Tokopedia 16Januari'26;;; Rp	142.400,00 ; Rp	43.539.204,30 ;
;Pembelian Pak Yana 16Januari'26;;; Rp	1.050.000,00 ; Rp	42.489.204,30 ;
;Pembelian Delta Adib 16Januari'26;;; Rp	472.500,00 ; Rp	42.016.704,30 ;
;Pembelian Safira 16Januari'25;;; Rp	800.000,00 ; Rp	41.216.704,30 ;
;Pembelian Mc Chain Spriral Twister Curly@1,8Kg 10Pack Shopee 16Januari'26;;; Rp	1.542.600,00 ; Rp	39.674.104,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 5Pack Shopee 16Januari'26;;; Rp	334.000,00 ; Rp	39.340.104,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 5Pack Shopee 16Januari'26;;; Rp	334.000,00 ; Rp	39.006.104,30 ;
;Disma Operasional Cost Dari Bank Bri;; Rp	50.000.000,00 ;; Rp	89.006.104,30 ;
;Kembalian Uang Belanja Hilman 6Januari'26;; Rp	343.000,00 ;; Rp	89.349.104,30 ;
;Kembalian Uang Belanja Hilman 8Januari'26;; Rp	729.000,00 ;; Rp	90.078.104,30 ;
;Kembalian Uang Belanja Hilman 10Januari'26;; Rp	200.000,00 ;; Rp	90.278.104,30 ;
;Pengembalian Dana Refund Bertoli White Vinager@500Ml 1Btl Shopee 15Januari'26;; Rp	58.500,00 ;; Rp	90.336.604,30 ;
;Service Mobil Grandmax TCO 16Januari'26;;; Rp	920.000,00 ; Rp	89.416.604,30 ;
;Pembelian Aldiansyah 30-31Desember'25;;; Rp	30.665.000,00 ; Rp	58.751.604,30 ;
;Pembelian Suminto 30Desember'25;;; Rp	120.000,00 ; Rp	58.631.604,30 ;
;Pembelian Tasmi Fresh 30-31Desember'25;;; Rp	22.680.000,00 ; Rp	35.951.604,30 ;
;Uang Belanja Hilman 17Januari'26;;; Rp	4.000.000,00 ; Rp	31.951.604,30 ;
;Uang Belanja Hilman 17Januari'26;;; Rp	4.500.000,00 ; Rp	27.451.604,30 ;
;Biaya Adm;;; Rp	20.000,00 ; Rp	27.431.604,30 ;
17-Jan;Pembelian Pak Yana 17Januari'26;;; Rp	1.050.000,00 ; Rp	26.381.604,30 ;
;Pembelian Delta Adib 17Januari'26;;; Rp	210.000,00 ; Rp	26.171.604,30 ;
;Pembelian Safira 17Januari'25;;; Rp	800.000,00 ; Rp	25.371.604,30 ;
;Uang Belanja Hilman 17Januari'26;;; Rp	1.389.000,00 ; Rp	23.982.604,30 ;
;Uang Belanja Hilman 19Januari'26;;; Rp	8.000.000,00 ; Rp	15.982.604,30 ;
;Marketing;;; Rp	388.702,00 ; Rp	15.593.902,30 ;
;Marketing;;; Rp	500.000,00 ; Rp	15.093.902,30 ;
;Marketing;;; Rp	50.000,00 ; Rp	15.043.902,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	15.041.402,30 ;
19-Jan;Pembelian Toko Omo 19Januari'26;;; Rp	1.820.000,00 ; Rp	13.221.402,30 ;
;Pembelian Safira 18Januari'25;;; Rp	800.000,00 ; Rp	12.421.402,30 ;
;Pembelian Safira 19Januari'25;;; Rp	395.000,00 ; Rp	12.026.402,30 ;
;Pembelian Delta Adib 18Januari'26;;; Rp	175.000,00 ; Rp	11.851.402,30 ;
;Pembelian Delta Adib 19Januari'26;;; Rp	262.500,00 ; Rp	11.588.902,30 ;
;Pembelian Pak Yana 18Januari'26;;; Rp	700.000,00 ; Rp	10.888.902,30 ;
;Pembelian Pak Yana 19Januari'26;;; Rp	1.015.000,00 ; Rp	9.873.902,30 ;
;Uang Lembur Rifai 15Januari'26;;; Rp	50.000,00 ; Rp	9.823.902,30 ;
;Uang Lembur Bagus 18Januari'26;;; Rp	50.000,00 ; Rp	9.773.902,30 ;
;Uang Belanja Hilman 19Januari'26;;; Rp	368.000,00 ; Rp	9.405.902,30 ;
;Uang Belanja Hilman 18Januari'26;;; Rp	4.000.000,00 ; Rp	5.405.902,30 ;
;Service Mobil Grandmax TCL 17Januari'26;;; Rp	1.050.000,00 ; Rp	4.355.902,30 ;
