REKAP BELANJA DISMA JUNI 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,TANGGAL,NAMA BARANG,QUANTITY,,HARGA TOTAL,HARGA SATUAN,SUPPLIER,PAYMENT,TGL BAYAR,INV,,,,,,,
140,03/06/26,KULIT AYAM ,  5.00 ,Kg," Rp 145,000 "," Rp 29,000 ",LESTARI,TRANSFER,02-Jun,,,,,,,,
141,03/06/26,UDANG VANAME KUPAS 91/120 NON COOKED@500GR,"  1,000.00 ",Pack," Rp 43,500,000 "," Rp 43,500 ",PAK ANDI,TRANSFER,03-Jun,,,,,,,,
142,03/06/26,STRUK THERMAL PMM 80X80,  12.00 ,Roll," Rp 169,060 "," Rp 14,088 ",SHOPEE,TRANSFER,03-Jun,,,,,,,,
143,03/06/26,SUSU KENTAL MANIS COKLAT ENAK @370GR,  48.00 ,Can," Rp 556,750 "," Rp 11,599 ",SHOPEE,TRANSFER,03-Jun,,REFUND,,,,,,
144,03/06/26,TAHU WALIK ISI 10 PCS,  30.00 ,Pack," Rp 506,000 "," Rp 16,867 ",SHOPEE,TRANSFER,03-Jun,,,,,,,,
145,03/06/26,BERAS HANARO @5KG,  2.00 ,Krg," Rp 371,600 "," Rp 185,800 ",TOKOPEDIA,TRANSFER,03-Jun,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,
146,04/06/26,BROKOLI,  3.00 ,Kg," Rp 75,000 "," Rp 25,000 ",,,,,BAGJA,"  1,850,000 ",PASAR,,,,
147,04/06/26,BUNCIS BESAR,  2.00 ,Kg," Rp 30,000 "," Rp 15,000 ",,,,,,"  5,367,000 ",TOKO ERNI,,,,
148,04/06/26,DAUN BAWANG,  2.00 ,Kg," Rp 30,000 "," Rp 15,000 ",,,,,,"  350,000 ",TOKO OMO,,,,
149,04/06/26,DAUN SALAM ,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,,"  202,000 ",TCO,,,,
150,04/06/26,DAUN SELEDRI LOKAL,  1.00 ,Kg," Rp 40,000 "," Rp 40,000 ",,,,,,"  202,000 ",TCL,,,,
151,04/06/26,HEAD LETTUCE ,  7.00 ,Kg," Rp 210,000 "," Rp 30,000 ",,,,,,"  35,000 ",BENSIN MOTOR,,,,
